
Date/Time,076 [°C],076 [m/s],657 [°C],657 [m/s],
14/03/2022 15:22:23,22.4,0.00,23.6,0.00,
14/03/2022 15:22:24,22.4,0.00,23.6,0.00,
14/03/2022 15:22:25,22.4,0.05,23.6,0.04,
14/03/2022 15:22:26,22.4,0.65,23.5,1.76,
14/03/2022 15:22:27,22.4,1.01,23.4,1.98,
14/03/2022 15:22:28,22.4,1.00,23.3,1.93,
14/03/2022 15:22:29,22.4,1.02,23.3,1.91,
14/03/2022 15:22:30,22.4,1.03,23.2,1.93,
14/03/2022 15:22:31,22.4,1.05,23.2,1.92,
14/03/2022 15:22:32,22.4,1.03,23.2,1.87,
14/03/2022 15:22:33,22.4,1.02,23.2,1.88,
14/03/2022 15:22:34,22.4,1.01,23.1,1.90,
14/03/2022 15:22:35,22.4,1.01,23.1,1.91,
14/03/2022 15:22:36,22.4,1.03,23.1,1.93,
14/03/2022 15:22:37,22.4,1.05,23.1,1.87,
14/03/2022 15:22:38,22.4,1.04,23.1,1.87,
14/03/2022 15:22:39,22.4,1.02,23.1,1.89,
14/03/2022 15:22:40,22.4,1.03,23.1,1.92,
14/03/2022 15:22:41,22.4,1.02,23.1,1.90,
14/03/2022 15:22:42,22.4,1.05,23.1,1.93,
14/03/2022 15:22:43,22.4,1.03,23.1,1.91,
14/03/2022 15:22:44,22.5,1.03,23.1,1.91,
14/03/2022 15:22:45,22.5,1.02,23.1,1.91,
14/03/2022 15:22:46,22.5,1.04,23.1,1.95,
14/03/2022 15:22:47,22.5,1.04,23.1,1.89,
14/03/2022 15:22:48,22.5,1.05,23.0,1.91,
14/03/2022 15:22:49,22.5,1.04,23.0,1.92,
14/03/2022 15:22:50,22.5,1.04,23.0,1.93,
14/03/2022 15:22:51,22.5,1.04,23.0,1.92,
14/03/2022 15:22:52,22.5,1.05,23.0,1.89,
14/03/2022 15:22:53,22.5,1.03,23.0,1.91,
14/03/2022 15:22:54,22.5,1.02,23.0,1.93,
14/03/2022 15:22:55,22.5,1.03,23.0,1.91,
14/03/2022 15:22:56,22.5,1.02,23.0,1.88,
